Epoch,PRN,Raw_Pseudorange,CN0,Elevation
121,2,21063674.584687,36.2,1.241503
121,5,22982304.945301,20.9,0.464886
121,6,22391575.602421,35.9,0.640489
121,12,20102884.424725,39.2,1.408522
121,19,24191638.347127,36.4,0.242029
121,24,23256230.122175,28.6,0.475027
121,25,21263566.916146,37.7,0.851867
121,29,23326680.437887,22.8,0.422859
122,2,21063903.077838,35.7,1.24138
122,5,22981706.612235,26.1,0.465
122,6,22392111.69056,35.3,0.640366
122,12,20102798.150848,38.7,1.40866
122,19,24192168.135737,32.7,0.241942
122,24,23256801.878559,26.9,0.474917
122,25,21263151.740565,36.4,0.851994
122,29,23326238.598374,24.4,0.422942
123,2,21064133.193859,35.7,1.241256
123,5,22981116.777426,27.0,0.465114
123,6,22392653.868825,34.3,0.640244
123,12,20102716.466379,39.9,1.408797
123,19,24192709.424041,26.9,0.241855
123,24,23257377.037736,27.7,0.474806
123,25,21262742.690011,37.1,0.852121
123,29,23325815.15139,21.3,0.423024
124,2,21064361.023902,34.0,1.241136
124,5,22980528.286282,29.9,0.465227
124,6,22393175.21153,31.6,0.640124
124,12,20102634.310754,39.7,1.408937
124,19,24193235.84476,30.2,0.24177
124,24,23257955.041298,27.7,0.474693
124,25,21262326.886223,39.6,0.85225
124,29,23325401.738282,19.3,0.423107
125,2,21064597.247499,34.8,1.241012
125,5,22979936.182944,31.1,0.465341
125,6,22393716.325332,29.5,0.640002
125,12,20102549.153691,40.7,1.409075
125,19,24193762.579582,33.9,0.241682
125,24,23258522.522379,33.6,0.474584
125,25,21261914.048972,38.4,0.852378
125,29,23324900.166673,19.9,0.423191
126,2,21064829.283045,35.7,1.24089
126,5,22979342.00303,32.3,0.465454
126,6,22394245.450834,30.4,0.639881
126,12,20102464.624837,39.9,1.409214
126,19,24194298.301267,29.7,0.241596
126,24,23259111.624279,28.5,0.474471
126,25,21261499.431798,41.6,0.852506
126,29,23324486.753565,32.5,0.423273
127,2,21065063.464967,36.0,1.240765
127,5,22978749.637939,35.6,0.465569
127,6,22394792.009104,26.8,0.639758
127,12,20102382.800766,38.2,1.409351
127,19,24194834.057852,28.9,0.241508
127,24,23259676.452927,26.9,0.474362
127,25,21261090.259093,41.2,0.852634
127,29,23324047.898039,31.3,0.423356
128,2,21065299.37446,34.4,1.24064
128,5,22978166.224809,38.5,0.465681
128,12,20102298.551114,37.0,1.409489
128,19,24195386.269992,25.7,0.241418
128,24,23260261.942633,20.5,0.474252
128,25,21260671.73307,38.5,0.852763
128,29,23323605.081313,26.9,0.423441
129,2,21065529.490482,30.7,1.240518
129,5,22977581.502913,40.7,0.465793
129,6,22395880.710739,28.6,0.639513
129,12,20102215.383377,38.8,1.409629
129,19,24195920.66546,27.8,0.241332
129,24,23260847.310187,22.3,0.47414
129,25,21260259.087771,37.1,0.852891
129,29,23323170.867545,29.0,0.423523
130,2,21065756.97152,32.8,1.240394
130,5,22976993.238623,39.7,0.465906
130,6,22396420.864779,26.8,0.63939
130,12,20102129.580656,38.5,1.409768
130,19,24196462.616873,28.0,0.241243
130,24,23261407.846081,28.5,0.474029
130,25,21259839.305333,37.1,0.853021
130,29,23322723.199659,29.5,0.423607
131,2,21065991.659498,32.9,1.240271
131,5,22976412.79203,36.4,0.466018
131,6,22396971.227196,27.9,0.639267
131,12,20102046.168615,40.2,1.409908
131,19,24196997.396246,29.2,0.241155
131,24,23261981.59179,34.1,0.473918
131,25,21259419.243692,37.6,0.853151
131,29,23322280.348034,28.9,0.423692
132,2,21066230.378477,32.9,1.240147
132,5,22975827.092922,35.1,0.466129
132,6,22397500.160746,26.2,0.639146
132,12,20101963.821038,41.1,1.410049
132,19,24197538.021441,33.3,0.241068
132,24,23262560.293361,33.8,0.473807
132,25,21258993.022124,38.7,0.853283
132,29,23321834.355369,23.4,0.423778
133,2,21066458.662226,34.2,1.240024
133,5,22975252.823707,35.3,0.466241
133,6,22398052.512488,28.3,0.639024
133,12,20101881.229157,40.3,1.410189
133,19,24198072.678663,31.0,0.24098
133,24,23263134.527676,30.9,0.473695
133,25,21258579.451963,37.4,0.853412
133,29,23321421.971823,22.7,0.423861
134,2,21066692.896498,33.4,1.2399
134,5,22974679.427002,35.1,0.466351
134,6,22398580.556077,29.0,0.638902
134,12,20101795.880142,41.9,1.410331
134,19,24198625.606262,31.1,0.240891
134,24,23263718.638815,30.3,0.473583
134,25,21258150.263858,33.6,0.853544
134,29,23320946.907095,21.0,0.423947
135,2,21066926.537464,31.2,1.239777
135,5,22974095.83937,34.1,0.466463
135,6,22399121.79203,28.4,0.63878
135,12,20101710.251924,38.2,1.410471
135,19,24199161.135994,32.4,0.240803
135,24,23264297.637039,34.5,0.473472
135,25,21257734.250667,36.3,0.853674
135,29,23320493.724941,20.3,0.424031
136,2,21067165.238992,33.9,1.239654
136,5,22973526.892471,32.8,0.466574
136,6,22399656.972758,27.7,0.638658
136,12,20101626.962034,39.9,1.410612
136,19,24199700.522225,31.8,0.240715
136,24,23264869.986731,30.1,0.47336
136,25,21257316.701857,36.6,0.853805
136,29,23320053.089492,29.4,0.424116
137,2,21067398.216849,34.5,1.239531
137,5,22972939.622843,34.8,0.466685
137,6,22400189.134598,31.2,0.638536
137,12,20101542.153976,39.7,1.410752
137,19,24200238.390286,27.4,0.240627
137,24,23265447.135232,32.9,0.473249
137,25,21256897.02412,27.1,0.853936
137,29,23319604.339693,30.4,0.424201
138,2,21067625.488485,33.3,1.239407
138,5,22972358.37354,32.0,0.466797
138,6,22400732.988084,35.5,0.638414
138,12,20101457.642572,39.0,1.410892
138,19,24200781.039707,30.0,0.240539
138,24,23266023.358872,35.9,0.473138
138,25,21256485.146631,25.2,0.854066
138,29,23319151.977699,23.5,0.424286
139,2,21067872.915122,34.2,1.239283
