Epoch,Lat,Lon,Alt
121,37.42468721215006,-122.0911865668083,-26.374982505105436
122,37.42460925130629,-122.0911038672504,-26.660839641466737
123,37.42453469913585,-122.09102601014095,-24.011344492435455
124,37.42448118180536,-122.09089989903121,-25.085474631749094
125,37.424379244432686,-122.09076614556317,-30.761948718689382
126,37.424296131879096,-122.09057678805102,-33.658110147342086
127,37.42417174790018,-122.09045125048854,-34.89170220773667
128,37.42406039914685,-122.0903811841403,-33.208234815858305
129,37.42397227882917,-122.09030111126869,-28.38702837843448
130,37.423888633583715,-122.09026072951296,-23.035800793208182
131,37.42383625894035,-122.09024502878337,-20.700759797357023
132,37.423811464508155,-122.09024241302228,-24.448775560595095
133,37.42378760610703,-122.09022073492407,-24.465377257205546
134,37.42379671460594,-122.09024483613067,-24.402913324534893
135,37.42380165626164,-122.09024727291875,-23.347429526038468
136,37.42382349349686,-122.09026611640338,-23.93718269933015
137,37.42383202053611,-122.09027405943971,-26.389013252221048
138,37.42381793191849,-122.09028026322957,-26.539879439398646
139,37.42381382738119,-122.09029824496436,-25.98379535973072
140,37.42380336881851,-122.09034327539364,-27.110919552855194
141,37.42377044765448,-122.09042405269216,-29.26908030733466
142,37.42374959771915,-122.09049952024718,-32.02565721049905
143,37.423706379942274,-122.09058746339004,-34.29733090940863
144,37.42365608974845,-122.09074319030984,-32.37139496393502
145,37.42359411241547,-122.09085184727095,-32.74986149929464
146,37.42351724821556,-122.09097940211902,-29.959958489984274
147,37.423423935646895,-122.09113410997143,-25.853851502761245
148,37.4233190586497,-122.09121597186821,-24.045835364609957
149,37.42321298458867,-122.09130395589696,-22.041979669593275
150,37.423116309404016,-122.09142584147935,-22.332689511589706
151,37.42299300137524,-122.0915010978889,-26.21145615540445
152,37.42290539229394,-122.09162408946796,-27.40944282989949
153,37.4228350618122,-122.09173165262597,-29.836483292281628
154,37.42276755363005,-122.09185944225209,-34.69719884824008
155,37.42271975395777,-122.09194981115425,-37.61265344452113
156,37.42265531262471,-122.09208696262338,-33.88951622322202
157,37.42262330531586,-122.0922267812516,-39.97391326725483
158,37.42253552487067,-122.0923637638285,-35.094266165047884
159,37.42250422988462,-122.09251000064079,-29.60096352174878
160,37.422481971412815,-122.09263638145902,-31.25109865795821
161,37.42239371624848,-122.09286023474684,-25.045289951376617
162,37.42236865452834,-122.0930162235546,-28.14048354420811
163,37.42230862981657,-122.09317174292255,-26.46416910737753
164,37.422287616277195,-122.09330291598073,-29.33025932405144
165,37.422259659029514,-122.0934679826505,-29.580521090887487
166,37.422267275322874,-122.09360715855973,-31.69443824980408
167,37.42226911213616,-122.09375265197177,-32.23101671412587
168,37.42229454637335,-122.09389528338058,-31.692972872406244
169,37.42238717818779,-122.09402778634129,-34.24841036275029
170,37.422458868143345,-122.09416067193136,-36.203740023076534
171,37.42255916798436,-122.09430038846999,-38.5263030314818
172,37.42265574089886,-122.09445339909642,-38.79817582760006
173,37.42275704397285,-122.09461227133119,-38.3698860835284
174,37.42284815951854,-122.09475866303525,-36.98053442500532
175,37.422962849363934,-122.09490894702064,-34.413598688319325
176,37.423076518243924,-122.09507045481645,-35.22621334157884
177,37.42316696807446,-122.09521866930062,-34.439624142833054
178,37.423279726793,-122.09536521778129,-34.25648791715503
179,37.423446895597415,-122.09553657223277,-36.283049509860575
180,37.42357259214634,-122.09570551663002,-34.40798598527908
181,37.42371669235988,-122.09589671186345,-35.57563560176641
182,37.42385098453232,-122.09608377561891,-34.25684897787869
183,37.42400024330672,-122.09628380636045,-36.896669298410416
184,37.42415060353145,-122.09648570439848,-34.4819266051054
185,37.424325972178,-122.09668039287088,-35.514271166175604
186,37.42448175247121,-122.0968934198467,-32.940535499714315
187,37.424619667214806,-122.09710899371508,-33.04415178857744
188,37.42475830480069,-122.09731326012324,-32.82916118204594
189,37.424914361519676,-122.09751808499156,-31.690836997702718
190,37.425066120645255,-122.09770405341489,-30.391948171891272
191,37.42521558982673,-122.0978870437212,-31.478565267287195
192,37.42538136663678,-122.0980643044584,-32.288884297944605
193,37.425541286608954,-122.09824483934334,-33.11424264125526
194,37.42571809567925,-122.09844527163756,-33.18954951595515
195,37.42588935314292,-122.09862471419069,-34.94159335736185
196,37.426056644234556,-122.09881435199682,-34.81768648326397
197,37.426242650927996,-122.0989825364013,-29.76443845499307
198,37.42642912314658,-122.09917599760925,-30.312867417931557
199,37.42659585118618,-122.09936537128466,-32.19501237012446
200,37.42676333292046,-122.09952439489743,-32.84118220862001
201,37.426956404242226,-122.0997084322212,-31.126020384952426
202,37.42711592314342,-122.09990899216737,-32.81406363751739
203,37.4272952209794,-122.10008883975206,-32.2272145524621
204,37.427469903207665,-122.1002788034895,-29.905715209431946
205,37.42763557004356,-122.10046742707647,-34.05476303771138
206,37.42782376215994,-122.10063385468685,-32.745807754807174
207,37.427986209371575,-122.10082021384821,-33.24464830197394
208,37.42815279969683,-122.10098663414738,-31.124333224259317
209,37.42833418171421,-122.10116646861896,-30.177335861139
210,37.42849391241439,-122.10135578283666,-29.661783378571272
211,37.42866205045129,-122.10153485323163,-28.36548047233373
212,37.42883589024533,-122.1017156998573,-27.499090569093823
213,37.42900082259735,-122.1018883417804,-26.976245690137148
214,37.42917331425176,-122.10206153462035,-26.370448296889663
215,37.42934041127492,-122.10223231232135,-27.50534923002124
216,37.42952324670908,-122.10240979006919,-30.74328100681305
217,37.42969308998342,-122.10257734351329,-33.38256140705198
218,37.42984374865724,-122.10275997111823,-32.77746850810945
219,37.43002820676627,-122.10293563974109,-30.0130089269951
220,37.43020228670955,-122.10311383241208,-30.185914386063814
221,37.430372634467545,-122.10328204070225,-27.05562170781195
222,37.430539078730675,-122.10348978730009,-29.173680597916245
223,37.430716463583906,-122.10367262221682,-31.34051472414285
224,37.43089045790569,-122.10384185946978,-31.734706503339112
225,37.43104953262358,-122.10402421154757,-31.86418725643307
226,37.431203492576046,-122.10422295702114,-32.66012840438634
227,37.431378854832765,-122.10440308244969,-29.18172734696418
228,37.43155937042373,-122.10458370634781,-28.128145480528474
229,37.43172874939598,-122.10477517016567,-27.92957845982164
230,37.43191524648895,-122.10495633492624,-31.46817853115499
231,37.43209806348647,-122.1051447922421,-31.267494885250926
232,37.432294612573564,-122.1053636137143,-31.321417695842683
233,37.43248118906536,-122.10556724787955,-29.723890256136656
234,37.43266820887513,-122.10577065458052,-29.377347745001316
235,37.43287127857473,-122.10596294796032,-27.142795026302338
236,37.433045307896386,-122.10615488853205,-28.299008671194315
237,37.43322361305396,-122.10635720471163,-30.87732611875981
238,37.4334381989937,-122.10654514649822,-31.705750201828778
239,37.43362757296416,-122.1067396997145,-27.973708914592862
240,37.433809140939175,-122.10695664581515,-31.534072102978826
241,37.43400481791724,-122.10714765842074,-31.3563045039773
242,37.43421898362277,-122.10732894391792,-28.470446661114693
243,37.434404836027184,-122.10754103531005,-28.298676474951208
244,37.43458421704531,-122.10773098713045,-27.534277891740203
245,37.43478376238907,-122.10795196520579,-29.768353773280978
246,37.43496261677606,-122.10815533884632,-29.130067750811577
247,37.435158157331315,-122.10835823607331,-29.5337259946391
248,37.43536400874024,-122.10856218346562,-30.767281965352595
249,37.435552754386144,-122.1087687261091,-31.25256643164903
250,37.43574530665872,-122.1089770601915,-30.86185958236456
251,37.435924955258535,-122.10919401906212,-31.12497540190816
252,37.436122341300894,-122.1094071149682,-29.977897653356194
253,37.436342106785176,-122.10961117470873,-30.511019138619304
254,37.4365565552142,-122.1098097692628,-30.218168987892568
255,37.436745391941834,-122.11002532814189,-30.775686751119792
256,37.4369563390098,-122.11025246776276,-32.08166693337262
257,37.437163497054186,-122.11046227705889,-33.86569469422102
