Epoch,Lat,Lon,Alt
121,37.394109524640044,-122.09861465668135,-11.507946766912937
122,37.394261774315915,-122.09862610431372,-18.786640729755163
123,37.39419089817677,-122.09859475522863,3.815049639903009
124,37.394080308560035,-122.09862188787297,-5.278088222257793
125,37.394142877639375,-122.0986628302516,4.039014479145408
126,37.394181388428166,-122.0986746653977,-8.901571563445032
127,37.39406512590813,-122.09863172322737,-8.785086307674646
128,37.39411391724749,-122.09862598438147,-2.624640015885234
129,37.39415501799632,-122.0985456331252,-4.55143554136157
130,37.394209077015056,-122.0985898097867,-14.10719894617796
131,37.394207405346094,-122.09861708308148,-18.808561351150274
132,37.39414154996096,-122.09863308257567,-21.130120024085045
133,37.39404350244483,-122.09874065079619,3.0071064103394747
134,37.39409546526371,-122.09852084294934,-1.1834705686196685
135,37.39409002127225,-122.098430066359,5.213645978830755
136,37.394079565728596,-122.0983704984274,-18.66382421925664
137,37.39404952347405,-122.09827868630482,-14.083467570133507
138,37.39402632276258,-122.09817670389434,-12.20093987043947
139,37.39402584123513,-122.09814757170416,-9.650699935853481
140,37.39392227327373,-122.09810898754634,-9.92318067047745
141,37.39392061357131,-122.09792432222036,-30.902855313383043
142,37.39374894725912,-122.09764568947827,1.6355958813801408
143,37.3937437081209,-122.09763009170888,-12.902413234114647
144,37.39366194027275,-122.09753253518426,-29.458416499197483
145,37.3936076299741,-122.09736185345365,-0.7434194535017014
146,37.393599964389935,-122.09730730634611,-11.52505462244153
147,37.39340568719825,-122.09712663611111,4.044034673832357
148,37.3934507605092,-122.09701480141601,-12.810119985602796
149,37.393336829755214,-122.09678748599187,-7.438018762506545
150,37.393237976300654,-122.0967949788053,-5.506029112264514
151,37.39319674512872,-122.09670585314235,-18.540692241862416
152,37.39305021969737,-122.09661902202787,-22.42672653310001
153,37.39302462303746,-122.09654943778237,-14.185378122143447
154,37.392896246982446,-122.0965189726392,-12.476621884852648
155,37.39288672929649,-122.09644889999164,-16.815677970647812
156,37.39276666038337,-122.09628487391035,-16.527813863940537
157,37.392756694051236,-122.09619964564087,-6.262319731526077
158,37.39262512275279,-122.09612416333901,6.48866612650454
159,37.392607049953995,-122.09602669661707,-5.579093529842794
160,37.392511492165575,-122.09606871435714,-0.1052054176107049
161,37.39247661225675,-122.09597228862293,-6.0744476383551955
162,37.39245702397772,-122.09593672729955,-2.186132661998272
163,37.392391994082224,-122.09597220037547,-13.457868408411741
164,37.39237756017515,-122.0958919141809,-2.2205799613147974
165,37.39235935619084,-122.09582425936016,-15.271805051714182
166,37.392256244284326,-122.09579404962471,-11.886520040221512
167,37.392279435657834,-122.0957092377618,-20.835480618290603
168,37.39219061324195,-122.0956800385813,-11.703414966352284
169,37.39212809303504,-122.09567505321193,-6.710729628801346
170,37.3920410431632,-122.09557292613171,-3.865148087963462
171,37.39194489340235,-122.09553044069834,-7.514831840060651
172,37.39193083631908,-122.09544113059843,-20.56496367510408
173,37.39183224063063,-122.09537480438601,-14.83007844351232
174,37.391716341581244,-122.09523495222761,-13.270762875676155
175,37.391655009195766,-122.09523597123352,-0.9549095090478659
176,37.39157492885642,-122.09522922961206,-17.516232389956713
177,37.39148354450175,-122.09502843611351,-7.683471409603953
178,37.391372375683574,-122.09502959534753,0.9233626322820783
179,37.39132926249354,-122.09483379696995,-15.79209418501705
180,37.39133808711129,-122.09475486380866,-8.93635704740882
181,37.39118976873111,-122.09470663440479,-3.0867211781442165
182,37.39118583219977,-122.09471086585809,-0.6855114689096808
183,37.3911298494761,-122.0946192428327,-24.03350693359971
184,37.39111980318675,-122.09444620937796,-6.570627140812576
185,37.39112747997832,-122.09450975661058,-15.528784429654479
186,37.391131860014255,-122.09455112189264,-20.531770315021276
187,37.391061846892114,-122.09430324308262,2.585824945010245
188,37.39105234445143,-122.094436481233,-22.685792454518378
189,37.39101384452086,-122.09433791653765,-7.621293478645384
190,37.39100479358084,-122.09436434021976,-5.628325446508825
191,37.39100377659223,-122.0944176339423,-10.771299667656422
192,37.390941365361904,-122.09437800787457,-8.705482660792768
193,37.39093635775171,-122.09420964798463,12.260543402284384
194,37.3908896593986,-122.09408671112695,2.523915105499327
195,37.390510586906714,-122.09367904892416,3.0369707476347685
196,37.390389563247226,-122.09349133852898,15.473318817093968
197,37.39080428584359,-122.09388038156541,0.30847200378775597
198,37.390443581209105,-122.09365498632559,-6.785745776258409
199,37.39046085764823,-122.09352186890621,-31.009884994477034
200,37.39027538298638,-122.09321715572621,7.838169621303678
201,37.39025587251587,-122.09307635763491,5.007057027891278
202,37.390167516594474,-122.0930394731805,9.783113380894065
203,37.39022147912106,-122.09296050838384,1.007876694202423
204,37.39007010281662,-122.09279168446199,-7.7554862685501575
205,37.39008832311482,-122.09280698962948,-12.867038442753255
206,37.3900040409238,-122.09260355660399,-5.424269557930529
207,37.38983652713358,-122.09250437274966,1.870640785433352
208,37.389797580784645,-122.09235069943341,-4.617526582442224
209,37.38977174756653,-122.09223325534212,-8.386635835282505
210,37.38965369805323,-122.09210230808604,-9.226645068265498
211,37.389607289426536,-122.09206147578774,-21.318373922258615
212,37.38951304263847,-122.0918416765736,-3.117659419775009
213,37.389458682382816,-122.09156190615207,-9.795828701928258
214,37.389347082553314,-122.09157813733258,-4.773179114796221
215,37.389260672314386,-122.0913348199015,-0.33003272116184235
216,37.389232710376994,-122.09121514914902,-3.3810471892356873
217,37.38917030829618,-122.09109995886725,-11.80736574344337
218,37.389149827336354,-122.09099687756448,-1.7262092251330614
219,37.389026836521445,-122.09076735999275,-4.50654730014503
220,37.38896962058574,-122.09061667151126,12.864491692744195
221,37.38890538992853,-122.09046281481125,-4.916842469014227
222,37.388845983583984,-122.09045121714526,-4.833494449965656
223,37.388811990612425,-122.09037230214639,-19.305254275910556
224,37.388738081948546,-122.09032350770649,-23.99170412775129
225,37.388546581136325,-122.08981507769168,5.957594602368772
226,37.388590350892905,-122.09002302067773,-21.25347900018096
227,37.38861463148035,-122.08985078216264,-1.9044933188706636
228,37.388511289707004,-122.08981081423818,6.829962118528783
229,37.38856827240137,-122.08975500175677,-6.102005919441581
230,37.38848515397201,-122.08984362606418,-27.3319926597178
231,37.38833085148674,-122.0894578943175,6.734007402323186
232,37.3883922967569,-122.08953709563056,-6.670115482993424
233,37.38835184002483,-122.08948383909254,1.8800445916131139
234,37.38836089575897,-122.0893980983446,-9.49412738531828
235,37.388364299319704,-122.08940134641573,-10.588746436871588
236,37.38839777398933,-122.08934381405665,-7.205824022181332
237,37.388547051006334,-122.08937925748575,-37.196969132870436
238,37.38855733332625,-122.08941060299362,-50.07914643269032
239,37.388528584493926,-122.08939245263403,-34.302801365964115
240,37.388570771114885,-122.08933131290566,-50.7194018792361
241,37.38841877096119,-122.08934796407912,-30.013848083093762
